Document,Date,Author,Unique Agent Target,Back-likelihood-binarized-by-rule,Back-likelihood,Back-strength,Build-likelihood-binarized-by-rule,Build-likelihood,Build-strength,Bridge-likelihood-binarized-by-rule,Bridge-likelihood,Bridge-strength,Boost-likelihood-binarized-by-rule,Boost-likelihood,Boost-strength,Excite-likelihood-binarized-by-rule,Excite-likelihood,Excite-strength,Engage-likelihood-binarized-by-rule,Engage-likelihood,Engage-strength,Explain-likelihood-binarized-by-rule,Explain-likelihood,Explain-strength,Enhance-likelihood-binarized-by-rule,Enhance-likelihood,Enhance-strength,Neutralize-likelihood-binarized-by-rule,Neutralize-likelihood,Neutralize-strength,Negate-likelihood-binarized-by-rule,Negate-likelihood,Negate-strength,Narrow-likelihood-binarized-by-rule,Narrow-likelihood,Narrow-strength,Neglect-likelihood-binarized-by-rule,Neglect-likelihood,Neglect-strength,Dismay-likelihood-binarized-by-rule,Dismay-likelihood,Dismay-strength,Dismiss-likelihood-binarized-by-rule,Dismiss-likelihood,Dismiss-strength,Distort-likelihood-binarized-by-rule,Distort-likelihood,Distort-strength,Distract-likelihood-binarized-by-rule,Distract-likelihood,Distract-strength,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:37:25-04,KatsuhikoTsuda,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:32:44-04,mamiahipo17,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
"RT @IPDefenseForum: Soldiers and sailors from the Philippines and U.S. conduct the first-ever amphibious insert of a Patriot missile system in the Philippines during Balikatan 22, at Aparri, Philippines, March 28, 2022.  #Balikatan #Philippines #PatriotMissileSystem https://t.co/VpqhwlAIIb",2022-04-11 00:25:56-04,allannatividad8,IPDefenseForum,1,1,0.717,0,0.167,0.167,0,0,0,0,0.111,0.167,0,0.235,0.147,1,1,0.681,0,0.455,0.386,1,1,0.700,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.066,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:21:28-04,jJqfUKaGtu4QQx8,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:20:00-04,waraioWASUREZU,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
"RT @IPDefenseForum: Soldiers and sailors from the Philippines and U.S. conduct the first-ever amphibious insert of a Patriot missile system in the Philippines during Balikatan 22, at Aparri, Philippines, March 28, 2022.  #Balikatan #Philippines #PatriotMissileSystem https://t.co/VpqhwlAIIb",2022-04-11 00:16:06-04,Rexleano1,IPDefenseForum,1,1,0.717,0,0.167,0.167,0,0,0,0,0.111,0.167,0,0.235,0.147,1,1,0.681,0,0.455,0.386,1,1,0.700,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.066,0,0.062,0.016,0,0,0,0,0.167,0.083,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:15:28-04,defined_un_sort,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:12:16-04,Sylveon_Ads,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:10:56-04,ppnn7221,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:08:20-04,JayBirdOne,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:05:02-04,marekol43191641,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:02:12-04,shigurenakako,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:01:43-04,DonnaEBecton,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
"RT @US7thFleet: USS Ashland, USS Miguel Keith Participate in Balikatan 2022 https://t.co/8Xc2uKZesS https://t.co/cUKVNid4Ez",2022-04-11 00:01:38-04,lupodark40,US7thFleet,1,1,0.675,0,0.167,0.042,0,0,0,0,0.148,0.083,1,0.294,0.147,1,1,0.671,1,0.545,0.500,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.079,1,0.125,0.047,0,0,0,0,0.167,0.021,
#F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 16:00:00-04,INDOPACOM,,0,0,0,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.176,0.176,0,0.185,0.144,0,0.364,0.273,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
"During FCLP, pilots perform repetitive touch and go landings at airfields, which simulate landing on an aircraft carrier when deployed throughout the #FreeandOpenIndoPacific. #Marines #Oorah #KnowYourMil #AlwaysReady #Pilots #Forward https://t.co/p3Usi2XVjB",2022-04-11 21:19:28-04,PacificMarines,PacificMarines,1,1,0.700,1,0.500,0.333,1,0.400,0.100,0,0.222,0.167,0,0.235,0.147,1,1,0.694,1,0.545,0.364,1,1,0.702,0,0,0,1,0.077,0.019,1,0.200,0.005,0,0,0,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.106,
"@USMC with #Marine Fighter Attack #Squadron 121, @1stmaw_marines, participate in Field Carrier Landing Practices (FCLP) with #F35B #LightningII #aircraft at Ie Shima Island, #Okinawa, #Japan. #1stMAW #Training #Readiness #MarineAircraft #IndoPacific https://t.co/ImRssmYZwz",2022-04-11 21:19:24-04,PacificMarines,,0,0,0,1,0.500,0.250,1,0.600,0.200,1,0.593,0.306,0,0.235,0.132,0,0.241,0.130,0,0.455,0.318,1,1,0.667,0,0,0,1,0.077,0.019,1,0.200,0.002,0,0,0,1,0.263,0.132,1,0.188,0.062,0,0,0,1,0.250,0.063,
"MCCRE: Marine Corps Combat Readiness Evaluation.   #USMarines with Marine Air Support Squadron 2, set up communications equipment during a MCCRE which creates a challenging, realistic training environment that produces combat-ready forces.  @USMC #FreeandopenIndoPacific https://t.co/NwdQhlIkro",2022-04-11 11:00:02-04,1stMAW_Marines,USMC,0,0.044,0.061,1,0.556,0.333,1,0.267,0.150,1,0.481,0.306,0,0.196,0.196,0,0.185,0.144,0,0.394,0.235,1,1,0.700,1,0.027,0.020,1,0.077,0.058,1,0.400,0.050,0,0,0,1,0.193,0.154,1,0.250,0.125,0,0,0,1,0.278,0.188,
"9 APR, JS SUZUTSUKI conducted Maritime Cooperative Activities with Philippine Navy frigate BRP JOSE RIZAL off the coast of Subic to realize a #FreeandopenIndoPacific. The JMSDF promote mutual understanding with the Philippine Navy. ⚓️  #FOIP #JMSDF70th #Philippine https://t.co/uTe1YwBnmv",2022-04-11 04:10:00-04,jmsdf_pao_eng,,0,0,0,0,0.278,0.250,1,0.267,0.250,1,0.370,0.333,0,0.176,0.176,0,0.167,0.125,0,0.364,0.295,1,1,0.683,0,0,0,1,0.077,0.019,1,0.200,0,1,0.333,0.333,1,0.158,0.118,1,0.188,0.094,0,0,0,1,0.250,0.104,
"&amp;  integrate for exercise #Balikatan22. #USSAsheville arrives for a port visit in . @PACAF #Airmen participate in a Weapons Load Crew Competition in .  President-elect Yoon, Suk-yeol visits U.S.  Army Garrison-Humphreys. #FreeAndOpenIndoPacific https://t.co/I7IzK5VTNf",2022-04-09 22:00:00-04,INDOPACOM,PACAF,0,0.033,0.033,1,0.500,0.250,0,0.067,0.100,1,0.296,0.194,0,0.176,0.132,0,0.185,0.144,0,0.364,0.295,1,1,0.667,1,0.027,0.007,1,0.077,0.019,1,0.200,0,0,0,0,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
"RT @1stMAW_Marines: MCCRE: Marine Corps Combat Readiness Evaluation.   #USMarines with Marine Air Support Squadron 2, set up communications equipment during a MCCRE which creates a challenging, realistic training environment that produces combat-ready forces.  @USMC #FreeandopenIndoPacific https://t.co/NwdQhlIkro",2022-04-11 23:26:49-04,nel_anzora,1stMAW_Marines,1,1,0.728,1,0.556,0.333,1,0.267,0.150,1,0.481,0.306,0,0.255,0.211,1,1,0.699,1,0.485,0.326,1,1,0.700,1,0.027,0.020,1,0.077,0.058,1,0.400,0.050,0,0,0,1,0.193,0.154,1,0.250,0.125,0,0,0,1,0.278,0.188,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 23:09:04-04,woMfbJKqIvydpRP,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
"RT @jmsdf_pao_eng: 9 APR, JS SUZUTSUKI conducted Maritime Cooperative Activities with Philippine Navy frigate BRP JOSE RIZAL off the coast of Subic to realize a #FreeandopenIndoPacific. The JMSDF promote mutual understanding with the Philippine Navy. ⚓️  #FOIP #JMSDF70th #Philippine https://t.co/uTe1YwBnmv",2022-04-11 22:55:42-04,tdhoanh,jmsdf_pao_eng,1,1,0.700,0,0.278,0.250,1,0.267,0.250,1,0.370,0.333,0,0.235,0.191,1,1,0.681,0,0.455,0.386,1,1,0.683,0,0,0,1,0.077,0.019,1,0.200,0,1,0.333,0.333,1,0.158,0.118,1,0.188,0.094,0,0,0,1,0.250,0.104,
"RT @PacificMarines: During FCLP, pilots perform repetitive touch and go landings at airfields, which simulate landing on an aircraft carrier when deployed throughout the #FreeandOpenIndoPacific. #Marines #Oorah #KnowYourMil #AlwaysReady #Pilots #Forward https://t.co/p3Usi2XVjB",2022-04-11 22:49:42-04,Koronuru,PacificMarines,1,1,0.700,1,0.500,0.333,1,0.400,0.100,0,0.222,0.167,0,0.235,0.147,1,1,0.694,1,0.545,0.364,1,1,0.702,0,0,0,1,0.077,0.019,1,0.200,0.005,0,0,0,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.106,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 22:42:36-04,Maxamdbar88888,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
"RT @PacificMarines: During FCLP, pilots perform repetitive touch and go landings at airfields, which simulate landing on an aircraft carrier when deployed throughout the #FreeandOpenIndoPacific. #Marines #Oorah #KnowYourMil #AlwaysReady #Pilots #Forward https://t.co/p3Usi2XVjB",2022-04-11 22:24:38-04,Sakura_ebiii,PacificMarines,1,1,0.700,1,0.500,0.333,1,0.400,0.100,0,0.222,0.167,0,0.235,0.147,1,1,0.694,1,0.545,0.364,1,1,0.702,0,0,0,1,0.077,0.019,1,0.200,0.005,0,0,0,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.106,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 22:18:24-04,jose22780,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
"RT @1stMAW_Marines: MCCRE: Marine Corps Combat Readiness Evaluation.   #USMarines with Marine Air Support Squadron 2, set up communications equipment during a MCCRE which creates a challenging, realistic training environment that produces combat-ready forces.  @USMC #FreeandopenIndoPacific https://t.co/NwdQhlIkro",2022-04-11 22:13:10-04,LouPawlowski,1stMAW_Marines,1,1,0.728,1,0.556,0.333,1,0.267,0.150,1,0.481,0.306,0,0.255,0.211,1,1,0.699,1,0.485,0.326,1,1,0.700,1,0.027,0.020,1,0.077,0.058,1,0.400,0.050,0,0,0,1,0.193,0.154,1,0.250,0.125,0,0,0,1,0.278,0.188,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 21:59:09-04,KatsuhikoTsuda,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
"RT @PacificMarines: During FCLP, pilots perform repetitive touch and go landings at airfields, which simulate landing on an aircraft carrier when deployed throughout the #FreeandOpenIndoPacific. #Marines #Oorah #KnowYourMil #AlwaysReady #Pilots #Forward https://t.co/p3Usi2XVjB",2022-04-11 21:56:36-04,1JZGTE2000,PacificMarines,1,1,0.700,1,0.500,0.333,1,0.400,0.100,0,0.222,0.167,0,0.235,0.147,1,1,0.694,1,0.545,0.364,1,1,0.702,0,0,0,1,0.077,0.019,1,0.200,0.005,0,0,0,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.106,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 21:43:17-04,djcad2005,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
"RT @PacificMarines: During FCLP, pilots perform repetitive touch and go landings at airfields, which simulate landing on an aircraft carrier when deployed throughout the #FreeandOpenIndoPacific. #Marines #Oorah #KnowYourMil #AlwaysReady #Pilots #Forward https://t.co/p3Usi2XVjB",2022-04-11 21:22:32-04,T_AH19,PacificMarines,1,1,0.700,1,0.500,0.333,1,0.400,0.100,0,0.222,0.167,0,0.235,0.147,1,1,0.694,1,0.545,0.364,1,1,0.702,0,0,0,1,0.077,0.019,1,0.200,0.005,0,0,0,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.106,
"RT @jmsdf_pao_eng: 9 APR, JS SUZUTSUKI conducted Maritime Cooperative Activities with Philippine Navy frigate BRP JOSE RIZAL off the coast of Subic to realize a #FreeandopenIndoPacific. The JMSDF promote mutual understanding with the Philippine Navy. ⚓️  #FOIP #JMSDF70th #Philippine https://t.co/uTe1YwBnmv",2022-04-11 21:06:38-04,twistarter,jmsdf_pao_eng,1,1,0.700,0,0.278,0.250,1,0.267,0.250,1,0.370,0.333,0,0.235,0.191,1,1,0.681,0,0.455,0.386,1,1,0.683,0,0,0,1,0.077,0.019,1,0.200,0,1,0.333,0.333,1,0.158,0.118,1,0.188,0.094,0,0,0,1,0.250,0.104,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 21:06:32-04,defense_sloot,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
"RT @jmsdf_pao_eng: 9 APR, JS SUZUTSUKI conducted Maritime Cooperative Activities with Philippine Navy frigate BRP JOSE RIZAL off the coast of Subic to realize a #FreeandopenIndoPacific. The JMSDF promote mutual understanding with the Philippine Navy. ⚓️  #FOIP #JMSDF70th #Philippine https://t.co/uTe1YwBnmv",2022-04-11 21:06:22-04,StriebRoman,jmsdf_pao_eng,1,1,0.700,0,0.278,0.250,1,0.267,0.250,1,0.370,0.333,0,0.235,0.191,1,1,0.681,0,0.455,0.386,1,1,0.683,0,0,0,1,0.077,0.019,1,0.200,0,1,0.333,0.333,1,0.158,0.118,1,0.188,0.094,0,0,0,1,0.250,0.104,
RT @INDOPACOM: More than 200 joint personnel and 27 participating squadrons from @USPacificFleet and @PACAF conduct an open-sea rescue during a Combat Search and Rescue Training Event over the #PacificOcean. #FreeAndOpenIndoPacific  #CSARTE22 #JointForce #Readiness   : Staff Sgt. Skyler Combs https://t.co/ZQZ7w5mwJ5,2022-04-11 21:01:16-04,jdh_harms,INDOPACOM,1,1,0.700,1,0.500,0.333,1,0.667,0.300,1,0.519,0.333,1,0.333,0.196,1,1,0.699,1,0.485,0.417,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,0,0,0,0,1,0.175,0.096,1,0.125,0.031,0,0,0,1,0.250,0.104,
More than 200 joint personnel and 27 participating squadrons from @USPacificFleet and @PACAF conduct an open-sea rescue during a Combat Search and Rescue Training Event over the #PacificOcean. #FreeAndOpenIndoPacific  #CSARTE22 #JointForce #Readiness   : Staff Sgt. Skyler Combs https://t.co/ZQZ7w5mwJ5,2022-04-10 22:00:01-04,INDOPACOM,,0,0,0,1,0.500,0.333,1,0.667,0.300,1,0.519,0.333,1,0.275,0.181,0,0.185,0.144,0,0.394,0.326,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,0,0,0,0,1,0.175,0.096,1,0.125,0.031,0,0,0,1,0.250,0.104,
"RT @INDOPACOM: A MH-60S Sea Hawk helicopter, attached to the “Island Knights” of #HSC25 moves into position for landing during flight quarters aboard #USSJohnPMurtha. #FreeAndOpenIndoPacific #Readiness   : MC2 Curtis D. Spencer https://t.co/R3czkhEfsP",2022-04-11 21:00:41-04,vassellia_bond,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.681,0,0.455,0.364,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 20:42:18-04,Jf3EHs0go4hikke,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 20:40:44-04,spanishdrone,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 20:40:42-04,StriebRoman,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 20:37:39-04,Fernand39170590,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 20:35:46-04,jdh_harms,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 20:30:04-04,JANET_redstar,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 20:19:58-04,praetorian0,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 20:19:58-04,MoneyFindersLLC,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
RT @INDOPACOM: #F35B Lightning II aircrafts attached to #VMFA22 prepare to land on the flight deck aboard #USSTripoli. #FreeAndOpenIndoPacific  #PacificOcean #Readiness  : MC2 Theodore Quintana https://t.co/g26d9f0s7Q,2022-04-11 20:14:32-04,provider808,INDOPACOM,1,1,0.700,0,0.167,0.167,0,0,0,0,0.111,0.111,0,0.235,0.191,1,1,0.699,0,0.455,0.364,1,1,0.683,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.083,
